teprenon||teprenone|teprenona|teprenonum|stepronin|eplerenone|eplerenona|loteprednol|serenoa|verbenone|arterenol
stona ivy gel s||avena sativa groats|strontium ranelate|cognac oil, green|mucuna nivea seed|cognac oil green|senna glycosides|nonfat dry milk|sinapis alba|silica gel|quinoline yellow ws
2652700||he-2200|ge-2270a|nox-700|abp-700|ap5280|al5300|t-2000|ax200|bi-671800|ly2062430
fil||fig|fixol|dill|fica|fasudil|zofenil|fucitol|favid|ysil6|fenol
goshitsu||gosogliptin|gossypol|inositol|covishield|voglibosum|bosentanum|golodirsen|vosoritide|rigosertib|urochinasi
cod porphyrin sodium||coproporphyrin i|parnaparin sodium|reviparin sodium|protoporphyrin ix|coproporphyrinogen iii|tinzaparin sodium|porfimer sodium|porphyrin fe(iii)|hematoporphyrin ix|zinc-protoporphyrin ix
stjohnwort||st johns wort|st. johns wort|st john's wort|st. john's wort|st. john’s wort|saint johns wort|ethanoat|sophora root|starch, corn|trolnitrate
264n00a||ren001|dnib0600a|ly2140023|ly-294002|czen 002|aslan003|fx-1006a|nov-002|dlo6001|gi-4000
2649828||sb-649868|tmc-649128|gw-493838|chs-828|m-2698|pf-06459988|gsk-2981278|ro6874281|fr-234938|mbx-2982
steroids (245)||thyroid (pork)|secretin (pig)|sterile water|pteroic acid|vestronidase alfa|satoreotide dota|chloride (ion)|yttrium (90 y)|chromium (3+)|peptide t1249
cardiac stimulant||carya angustifolia nut|cupric sulfate|cassia fistula fruit|ferric subsulfate|calcium laevulate|calcium silicate|candida albicans|calcium sulfate|carindacilline|barium sulfate
garbage||cabbage|grape|gatate|carbose|carageen|gabexate|carrageen|carbazole|sugarcane|carbamide
2649824||pf-04958242|ly-2608204|sb-649868|pi-0824|m-2698|tmc-649128|pf-4191834|mbx-2982|azd-6482|ly249543
fibrin decomposition product kit||siberian elm pollen extract|citrus deliciosa fruit rind|curcuma domestica root oil|malus domestica fruit oil|kua domestica root oil|perftoran component perfluorodecalin|pterin cytosine dinucleotide|malus x domestica fruit oil|hydrocortisone probutate|pyrethrins component of rid mousse
steroidal pulse therapy||steroids, soya hydroxy|cord blood therapy|water oak pollen extract|siberian elm pollen extract|salt cedar pollen extract|mineral oil, heavy|american elm pollen extract|water birch pollen extract|shad scale pollen extract|groundsel pollen extract
2649802||ly-2624803|sb-649868|ck0802|m-2698|jnj-26489112|bms-986012|bms-986020|dcdt2980s|ly2140023|gsk232802
fibrates||nitrates|simfibrate|etofibrate|clofibrate|nitrate|bezafibrate|fenofibrate|ronifibrate|finofibrate|firategrast
fresh washed red blood cells||technetium tc 99m red blood cells|technetium tc-99m red blood cells|technetium (99mtc) red blood cells|technetium tc-99m red blood cell|technetium tc 99m-labeled red blood cells|technetium tc-99m red blood cell human|fresh earth yellow root|eastern red cedar wood oil|red cedar wood oil|cryopreserved human liver cells
washer red blood cell fluid (irradiation)||washed microbiota transplantation|technetium tc-99m red blood cell human|aloe ferox leaf preparation|garden snail mucin preparation|southern black widow spider antivenin|calendula flower olive oil infusion|western yellow jacket venom protein|western black willow pollen extract|rosmarinus officinalis preparation|agalsidase alfa (genetical recombination)
2649790||sb-269970|bp-14979|ly341770|r-30490|pt2977|pf-06649751|pf-04217903|pf-00489791|cnv2197944|bay1213790
steroid v.d3 mixture||steroids, soya hydroxy|ferric sodium citrate|ceramide 2 pure|sorbide nitrate|serine vanadate|terpin hydrate|sterile water|aspergillus fumigatus|typhoid vaccine live|esterified estrogens
ryutanshakanto||cryptotanshinon|cryptotanshinone|tanakan|guanhuangbo|taranabant|tanshinone c|ritanserina|vernakalant|surinabant|ritanserin
2619714||lx6171|cnv2197944|cp-609754|pd-217014|ana971|cnv-2197944|cp-724714|cp-271485|sb-269970|fr117016
fes solodex||fenozolone|femproporex|fenproporex|adeps solidus|mesterolone|flunisolide|fesoterodine|trestolone|fe-mesopone|ferrous chloride
enzymes nos||benzylis benzoas|coenzyme m|coenzyme r|coenzyme a|enzacameno|coenzyme i|coenzyme ii|coenzyme q5|coenzyme q1|coenzyme q2
steroid ointment||spermidine|siberian ginseng|terodiline|esterified estrogens|thyroid, porcine|sterile water|fesoterodine|steproninum|neridronate|serlopitant
mofezoraku||mofebutazonum|amfecloral|cefozopranum|mefenorex|mexazolamum|toreforant|zofenoprilum|mofebutazona|aminofenazona|meclofenoxate
2616014||pd-217014|pf-06260414|pm-060184|v116517|fk-614|tg1024|r1204|mf101|z-160|bms-690514
steroid hormones||parathyroid hormone|luteotropic hormone|luteohormone|growth hormone|thyroid, porcine|luteinizing hormone|luteinising hormone|esterified estrogens|parathyroid hormone (rdna)|parathormone
2599806||xp19986|rdea806|bms-599626|bms-986036|bms-986016|dcdt2980s|sb-269970|ru79256|gs-9256|vk-2809
ferrous sulphate||ferrous succinate|ferrous fumarate|ferrous aspartate|estrone sulphate|ferrous glycine sulphate|ferrous gluconate|ferrous ascorbate|ferric sulfate|ferrous tartrate|ferrous bisglycinate
2590991||cra_10991|azd-5991|al7099a|ru90395|jb991|xl999|pd-0325901|mdl-29951|gw 597599|gw-559090
amino acid preparation for liver failure (2)||fatty acids of cod liver oil|blood coagulation factor xiv (human)|rehmanniae preparata radix et ehizoma|amino(diphenylhydantoin) valeric acid|bisamide derivative of dicarboxylic acid|ammonio methacrylate copolymer type a|damiana leaf preparation|calcitrapa tinctoria flower bud|adenovirus vaccine, live, oral, type 4|ebola zaire vaccine (live, attenuated)
steroid enema||meropenem|stepronine|spermidine|semorinemab|steproninum|biperidene|pteroic acid|fesoterodina|terizidone|serdemetan
259007||fr239087|t-900607|ico-007|sr-9009|al5927|cg0070|al5300|t-2000|ax200|g207
substances||sutilaines|sulbentine|semustine|balance|mustine|purslane|sulbutiamine|sutilains|isobutanoate|sulbutiamina
steroid drug||pteroic acid|stearic acid|sterculia gum|steproninum|satoreotide dota|steelhead trout|thyroid (pork)|terpin hydrate|sterile water|cysteric acid
enteric component nutritional supplement (7-2)||menrium component estrogens, esterified|perftoran component perfluorodecalin|pyrethrins component of rid mousse|insulin recombinant purified human|bone morphogenetic protein 2 (human recombinant rhbmp-2)|antivenin crotaline (pit-viper) equine immune f(ab)2)|recombinant deoxyribonuclease (dnase)|endolipide component egg lecithin|estrogens, esterified component of menrium|parathyroid hormone related protein (1-36)
ferrous||ferrum|ferrous ion|ferrocin|coriolus|flours|ferrostrene|ferrostrane|ferromaltose|ferrous cation|deferipronum
259004||sr-9009|ags-004|al5300|t-2000|xr5944|ax200|r1204|bms-906024|ly-2090314|cg-200745
steroid antibacterials||periplaneta americana|evernia stictoceros|swertia japonica extract|thyroid extract, porcine|centruroides antivenin|american tobacco leaf|recombinant factor ix|germo albacora flesh|ricinus zanzibarinus|ergoloid mesilates
259003||pv903|atg003|v1003|ly2140023|gw-590735|ru79073|sr-9009|s-40503|t-2000|al5300
fermoxides||ferumoxides|ferric oxide|pergolide|sennosides|ferumoxsil|tertomotide|fipexide|pramoxine|hydroxide|mebamoxine
statin||nystatin|apstatin|stibatin|isatin|nystatine|nistatina|oxatin|zeatin|ostarine|stavudin
ph4 treated acidic human immunoglobulin (subcutaneous injection)||pit viper (crotalinae) immunoglobulin (equine)|pit viper (crotalinae) immune globulin antivenin (equine)|scorpion (centruroides) fab2 immunoglobulin (equine)|pit viper (crotalinae) immune globulin (equine)|vaccinia immune globulin intravenous (human)|centruroides (scorpion) immune f(ab')2 (equine) injection|hepatitis b immunoglobulin (human)|coagulation factor ix recombinant immunoglubulin g1 fusion protein|coagulation factor viii recombinant immunoglubulin g1 fusion protein|coral snake (micrurus fulvius) immune globulin antivenin (equine)
2590007||t-900607|t-2000|uk-500001|amgn-0007|fr239087|sd-0006|ico-007|m0002|sch-900271|pf-5190457
drugs for purulent diseases||douglas fir pollen extract|arundarbor orientalis stem|arundarbor arundinacea stem|dolichos pruriens seed|arundarbor agrestis stem|mucuna atropurpurea seed|garrys oak pollen extract|mucuna pruriens seed|arundo agrestis stem|rough cocklebur pollen extract
2549||p54|ipi-549|ru85493|td-2749|zw-49|2m4vp|g4544|ly249543|ns-2359|sr11254
fer||pear|ferrum|kupfer|monofer|fenol|pearl|cpert|ether|5-fur|amber
nijutsuto||nifurtoinol|nifurtimox|nimustinum|nequinato|nitarsone|nimustine|nimustina|nitarson|nitrite|nitrate
stage unknown||acetate anion|sage oil|state of return|sulfate dianion|stannsoporfin|sage leaf oil|trienanthoin|starch, corn|topa quinone|tagetitoxin
st1||ls11|st-101|sot-107|stx-100|stnf-r1|snet2|qs-21|ft516|mart1|egs21
2544404||m40403|g4544|ly-2584702|abc294640|wrr-204|epc2407|xr5944|v24343|al5424|jnj-54452840
dpp-4 inhibitor||c1 inhibitor|dynamin inhibitor i|human c1 inhibitor|cdk1/2 inhibitor iii|calpain inhibitor iv|iap inhibitor at-406|naphthyridine inhibitor|kras g12c inhibitor 9|hdac inhibitor cxd101|c1 inhibitor human
fentos||fenol|mentol|fenthion|fenazon|fenchon|fenclofos|fentonium|fenoterol|fenitoina|menthone
2539f02||ly-2456302|ly-2584702|uk-396,082|gsk232802|ly-294002|pg-530742|atl-2502|fr239087|ru79072|4sc-202
ssr149744c||sar-125844|sp1049c|ssr-126517e|cnv2197944|sb-559448|gsk159797|bp-14979|sri-9439|rta 744|sr11254
ashotase alpha (genetical recombination)||agalsidase alfa (genetical recombination)|agalsidase beta (genetical recombination)|alteplase (genetical recombination)|somapacitan (genetical recombination)|galsulfase (genetical recombination)|somatrem (genetical recombination)|laronidase (genetical recombination)|burosumab (genetical recombination)|adalimumab (genetical recombination)|antithrombin gamma (genetical recombination)
2492f02||sb220025|4sc-202|ly-2456302|ly-294002|gsk232802|ag-24322|atl-2502|mln2222|he-2200|epc2407
dmards||dadps|imrcs|mart1|d-mannose|limaprost|dicumarol|maldison|samario|cymarin|cumarin
sr141716||fr117016|sar153191|sr-123781a|r411|sr11254|sgi-1776|sr 121463|sf1126|sd146|sr12813
249240302||ly-294002|ly-2456302|ly2140023|ly2062430|sb220025|tro40303|ag-24322|ly249543|m40403|gsk2245035
anti-human lymphocyte horse immunoglobulin||rabbit anti-human thymocyte immunoglobulin|anti-human thymocyte immunoglobulin, rabbit|antithymocyte immunoglobulin|lapine t-lymphocyte immune globulin|rabbit anti-thymocyte immunoglobulin|antilymphocyte immunoglobulin (horse)|anti-t-lymphocyte immune globulin, rabbit|human cytomegalovirus immune globulin|human hepatitis-b immunoglobulin|human hepatitis b immunoglobulin
fenitrothion preparation||eleuthero preparation|serenoa preparation|corn starch preparation|culex pipiens preparation|honey preparation|caviar preparation|salmon preparation|brown rice preparation|schizandra preparation|aloe ferox leaf preparation
specific substance maruyama||reichstein's substance fa|reichstein's substance m|pacific long-tailed tuna|reichstein's substance h|sarcosyl(9)-substance p sulfone|9-sar-substance p sulfone|peg-60 sorbitan stearate|pacific ocean perch|sus scrofa subcutaneous fat|usnea (usnea barbata)
2492402||ly-294002|ly249543|ap-22408|sb220025|ag-24322|4sc-202|epc2407|m40403|tb-402|pf-04958242
spalar||mepatar|asparec|pear|δ-ala|aspart|squalane|d-ala|samario|ispaghula|atopaxar
249032||pv903|ly249543|ru90395|ru79072|sns-032|vm4-037|e-2012|tt-232|m40403|v24343
diphtheria tetanus mixed toxoid||diphtheria toxoid|diphtheria toxoid adsorbed|oenothera biennis seed oil|tetanus toxoid|dimethylaurylamine oxide|capric dimethyl amine oxide|pimpinella anisum seed oil|helianthus annuus seed oil|dimethyldodecylamine oxide|light white mineral oil
fe agent||jie geng|telcagepant|metarene|fenazon|fenazona|cefetamet|nifekalant|febantel|selagine|fenacetina
agarcidase alpha (genetical recombination)||agalsidase alfa (genetical recombination)|agalsidase beta (genetical recombination)|laronidase (genetical recombination)|galsulfase (genetical recombination)|adalimumab (genetical recombination)|aflibercept (genetical recombination)|abciximab (genetical recombination)|alteplase (genetical recombination)|liraglutide (genetical recombination)|somapacitan (genetical recombination)
sp troche||oestrone|estrone|strychnine|iprazochrome|sparsomycine|streptocide|eprotirome|mupirocine|deptropine|sobetirome
2459||r450|oc-459|sp2456|ns-2359|2m4vp|dpi59|g4544|ly249543|ppi-2458|mk-0249
som||hs-com|s(o)me2|cromo|sam-e|mgso4|iso24|chrom|hscoa|urson|elm
245600||ly-2456302|sp2456|al5300|r450|sc45647|dlo6001|dlo6002|t-2000|e-6005|m40403
delgositinib||delgocitinib|pelitinib|dovitinib|filgotinib|linsitinib|dacomitinib|erlotinib|adelatinib|decernotinib|tepotinib
dry concentrated human blood coagulation factor ix||aav2/6-b-domain-deleted blood coagulation factor viii|human coagulation factor ix|human coagulation factor x|human coagulation factor ii|recombinant coagulation factor xiii|human coagulation factor xi|blood coagulation factor xiv|human coagulation factor vii|bothrops atrox blood-coagulation factor x activator|human coagulation factor viii
24560||r450|sp2456|ly-2456302|sp4160|sc45647|abt-560|g4544|z-160|cd564|gsk2256098
fatty acid-based preparation||atlantic halibut preparation|carduus marianus preparation|schizandra preparation|damiana leaf preparation|cod, unspecified preparation|siberian ginseng preparation|matricaria recutita preparation|oats preparation|caviar preparation|blue crab preparation
soldem replacement fluid||gold, elemental|serenoa repens fruit|selenium elemental|selenium, elemental|golden shower tree fruit|corypha repens fruit|saw palmetto fruit|momordica elegans fruit|scomber albacares flesh|silybum marianum fruit
24540022||ly2140023|adc4022|ly-2456302|ly-294002|sb220025|ly-2584702|snx-5422|ag-24322|a-620223|ncx 1022
decadron||betapron|carbon|dantron|decholin|enecadin|danthron|metadona|menadione|gestatron|edotecarin
anxiolytic (general drug)||aromatic ginger root|amniotic epithelial cells|amoxicillin (anhydrous)|analogue of indinavir drug|liraglutide (rdna origin)|senegalia senegal resin|ampicillin (anhydrous)|acacia senegal gum|amidotrizoic acid (anhydrous)|maximowiczia chinensis fruit
sol melcourt||oil, coconut|selamectin|velsecorat|oat flour|isoamyl alcohol|salicis cortex|dl-milchsäure|oil bergamot|l-milchsäure|salmeterolum
fats nos||fats, lanolin|lathanol|famophos|sulfate ion|fish oils|fat, hard|xanthinol|panthenol|cathinone|oak moss
2452000||t-2000|he-2200|gi-4000|pro 2000|uk-500001|sb220025|cx-2009|mva3000|ap5280|al5300
vaccines||valine|tacrine|guvacine|voacamine|vaccininum|bcg vaccine|vancomycine|cocaine|acyline|vocamine
crociapin||clotiapine|clotiapina|cocain|crocin|rosapin|crocetin|clozapin|clothiapine|cronidipine|cocaine
sol||sterol|cresol|parsol|gold|s-equol|ipsatol|estriol|östriol|istonil|esmolol
fat preparation||oats preparation|lamb preparation|salmon preparation|caviar preparation|honey preparation|rhubarb preparation|serenoa preparation|blue crab preparation|eleuthero preparation|schizandra preparation
245200||al5300|r450|ax200|ap5280|he-2200|sb220025|cx-2009|ddp-200|at2220|m40403
ninjinto||ninjin root|ninjin whole|jintiao|pinitol|nequinato|niobio|niacin|sinapinate|mannitol|nitrite
soj||mgso4|hscoa|iso24|urson|sterol|hs-com|cresol|so-101|cosmos|parsol
clio recipe tate||calcio acetato|clorazepate|lime acetate|choline acetate|cortone acetate|calcium acetate|dichloroacetate|cortisone acetate|calcium gluceptate|licorice extract
24514010||tg4010|ly2140023|ro-4584820|act-451840|pd-217014|cpg 10101|cc-11050|azd-4017|sc-74020|slx-4090
fat dissolving injection||factor viii bypassing fraction|pyridostigmine cation|factor ix fraction|thiazolidinedione|anisin indandione|apis mellifera secretion|plasma protein fraction|dioctyldimonium cation|gadolinium(iii) cation|methantheline cation
sodium pyrophosphate||sodium glycerophosphate|sodium orthophosphate|sodium fluorophosphate|sodium tripolyphosphate|sodium primary phosphate|sodium pyrosulphite|disodium hydrogenphosphate|sodium acid phosphate|disodium phosphate|disodium glycerol phosphate
2451105||cc-11050|atl1101|atl1102|bnc105|cc-115|r450|r411|pf-5190457|gsk2245035|ly-2456302
metoxamine hydrochloride||adiphenine hydrochloride|acriflavine hydrochloride|aluminum hydroxychloride|scopolamine hydrobromide|methenamine 3-chloroallylochloride|zirconium hydroxychloride|ethylene dichloride|ethylene trichloride|mercuric amidochloride|zirconyl hydroxychloride
falx||salix|kale|talc|cefalexin|haloxon|furavax|flx475|chalk|5-ala|favid
cefoceris sulphate||copper sulphate|copper(ii) sulphate|dextrin sulphate|curcumin sulphate|calcium sulphate|cholesterol sulphate|cholesteryl sulphate|estrone sulphate|prasterone sulphate|copper monosulphate
sodium oxbate||sodium oxybate|sodium borate|sodium molybdate|sodium ascorbate|sodium apolate|sodium choleate|sodium edetate|sodium sulfate|sodium citrate|sodium hydrate
244||v24343|2m4vp|xl844|g4544|r1204|nn344|p54|mp4|ly249543|al5424
falda previr||faldaprevir|faldaprévir|faldaprevirum|narlaprevir|telaprevir|furaprevir|danoprevir|balapiravir|asunaprevir|glecaprevir
antispasmodic||antipain|antimonio|atiprimod|ansamicin|amipramidin|anise seed oil|amipramidine|m-anisamide|aniseed oil|atipamezole
24292413||ly249543|ly-2452473|fr236913|r-82913|lgd2941|v24343|ly-2624803|sb-409513|ly2062430|ce-224535
calglumic acid||carglumic acid|spaglumic acid|l-glutamic acid|alginic acid|glutimic acid|niflumic acid|glutamic acid|carbamic acid|ajulemic acid|carbamylglutamic acid
sodium gualenate + l-glutamine||sodium sulphate, anhydrous|sodium acetate, anhydrous|sodium sulfate, anhydrous|sodium sulphate anhydrous|n(2)-l-alanyl-l-glutamine|sodium acetate anhydrous|sodium sulfate anhydrous|n-acetyl-l-glutamine|l-alanyl-l-glutamine|sodium carbonate (anhydrous)
f: k||lc k8|fgf 2|fx06|duck|pork|fica|leek|pvp k30|feng mi|paf 16
2419044||agn-201904|cnv2197944|ly249543|fg-9041|xr5944|tg1024|g4544|r1204|cnv-2197944|pf-5190457
antimetabolite||lucanthone metabolite|ametazole|antazoline|asimadoline|mate absolute|oxymetazoline|acetilmetadol|xylometazoline|tetraborate|attapulgite
ezetipu||ezetimibum|emetine|ezetimiba|ezetimibe|zeatin|abetimus|etretin|eletriptan|eletriptán|eletriptanum
bufferin a||bufenina|buformina|brefeldin a|buserelina|huperzine a|sulfaperina|buformin|efedrina|buformine|bufotenin
2399055||ly-2300559|fr239087|imo-2055|bms-929075|gt 389-255|uk-390957|azd-9056|fr230513|azd-8055|pd173955
sodium cefmethazole for injection||sodium camphorsulfonate|sodium metabisulfite|anacardium occidentale fruit extract|somatrem (genetical recombination)|sodium phosphate monobasic|sodium acetate, anhydrous|sodium acetate anhydrous|adalimumab (genetical recombination)|absinthium officinale flowering top|absinthium bipedale flowering top
eye drops||methyl dopa|melevodopa|mephedrone|gemeprost|efedrina|l-dops|redtop|α-methyl dopa|l-methyl dopa|menotropins
2399019||fr239087|fr236913|scb-2019|sr-9009|sm-9018|sr-9011|jb991|xl999|xl019|ppi-1019
anchusan||incasan|jianghuang|pralnacasan|diclosan|soneclosan|aneurin|anthralin|acoalan|archexin|adchnon
smile||smelt|silver|ysil6|isoaminile|diosmine|snail|suramine|smilagenin|pumice|astémizole
239014||ly-2090314|fr239087|pd-217014|fr236913|fr230513|sm-9018|sr-9011|s-3304|kd3010|e-2012
exodermis medicine||etoxeridine|evernimicin|dexmedetomidine|air, medicinal|semduramicine|debromohymenialdisine|codergocrine mesilate|deoxyribose cytidine|hexamethylenediamine|enfortumab vedotin
ska||okra|fsh-a|hscoa|safra|senna|gshna|snail|dms-a|usnea|kale
239||ns-2359|l523s|123i−|x-396|s-23|hm-43239|mol-4239|fr239087|fr236913|sc-236
sirukum||sirukumab|serinum|sirolimusum|siroheme|thiramum|setrusumab|icrucumab|simtuzumab|buspironum|estronum
excipients||culex pipiens|vestipitant|estiripentol|lecithins|exicorilant|culex pipines|epicriptinum|enclomiphene|setipiprant|moexiprilat
bonoprazan fumarate combination drug||monoethyl fumarate zinc salt|somapacitan (genetical recombination)|somatropin (recombinant dna origin)|formoterol fumarate related compound g|lenograstim (genetical recombination)|burosumab (genetical recombination)|somatropin(recombinant dna origin)|somatrem (genetical recombination)|coagulation factor ix recombinant human|regn10933+regn10987 combination therapy
2384003||ly2140023|m40403|s-40503|tro40303|h3b-8800|ru85053|gi-4000|oxi4503|vpm4001|atg003
sir||silver|aspirin|inspire|ysil6|rosin|escin|aicar|safra|basil|eosin
other cardiovascular drugs||cathartocarpus fistula fruit|culex varioannulatus|northern schisandra fruit|ethylmercurithiosalicylate sodium|sodium carbonate, anhydrous|sodium carbonate anhydrous|momordica operculata fruit|sphacelaria scoparioides|musa corniculata fruit|potassium carbonate, anhydrous
exassin||expansine|ebastine|ebastina|eosin|escin|elafin|casein|oxatin|quassia|hexamine
2371700||ly341770|bi-671800|nox-700|abp-700|ru78300|cg7870|ac-100|ca-170|tu-100|lb-100
exar||pear|bezoar|pearl|bexaroten|heparin|dextran|tegafur|eparina|mebicar|mepatar
simple ointment||silver proteinate|silver protein|selenoinosine|oil of nutmeg|lime nitrogen|dimethindene|dimetindene|dimetindeno|sinapoyl coenzyme a|siberian ginseng
235c01d||cx501|ir501|ly-295501|pym50018|fr230513|vb2-011|pcl-016|oc-1012|tt-301|2clado
sil||ysil6|snail|basil|silica|dill|silver|silicon|silanol|istonil|silicio
eviprostat (nos)||epoprostenol|prostaleno|endostatins|seviprotimut l|fenprostalene|eprosartanum|eprosartan|fenpyroximate (z,e)|iofolastat (123 i)|trichostatin a
235c00a||al5300|2-cda|fx-1006a|peg 3500|cyp-001|qgc-001|cmc 001|mva3000|gi-5005|ico-007
morcin combination agent (1)||somatropin (recombinant dna origin)|somatropin(recombinant dna origin)|human coagulation factor vii|human coagulation factor xi|human coagulation factor ix|human coagulation factor ii|porcine dynorphin a (1-17)|human coagulation factor x|monoctanoin component d|indium cation in 111
blood pressure lowering agent (general drug)||pagodatree flower (flower bud)|honeysuckle flower (lonicera confusa)|gold-silver flower (lonicera confusa)|somatropin(recombinant dna origin)|glucagon (recombinant dna origin)|black imported fire ant allergenic extract|bald cypress pollen extract|somatropin (recombinant dna origin)|avena sativa flowering top extract|botulism immune globulin intravenous (human)
signal gastrointestinal drug||analogue of indinavir drug|kassiya ostrolistnaya leaf|atrial natriuretic factor|thermobacterium intestinale whole|insulin glargine (rdna origin)|sodium carbonate, anhydrous|atrial natriuretic peptide|atrial natriuretic hormone|sodium carbonate anhydrous|digitalis glutinosa root
2359100||fr236913|vit-100|azx-100|agro100|stx-100|ppl-100|ser-100|anz-100|nox-100|ac-100
evequick headache medicine||air, synthetic medicinal|penequinine, penehyclidine|varicella vaccine|methyl hygrate betaine|duck feather extract|mepesuccinato de omacetaxina|ferric hexacyanoferrate(ii)|theophyline ethylenediamine|echinacea intermedia whole|4-azaoctamethylenediamine
sifrol||sterol|lifibrol|sulfurol|silanol|fixol|patrol|estriol|stibinol|xibornol|zipeprol
2359001||pd-0325901|uk-500001|cam-3001|np-50301|pym50018|fr239087|vpm4001|svv-001|xtl-001|aki-001
blood cells||cd34+ cells|blood stone|m cells|nk cells|blond psyllium|blonde psyllium|bovis calculus|food yellow 13|wood creosote|il15-nk cell
eventy (amg 785)||sweet flag root|solvent blue 8|xenon (133 xe)|coenzyme q5|epoetin gamma rdna|flutemetamol (18f)|velvet bean seed|previtamin d(3)|secretin (pig)|exendin (9-39)
2357001||nd7001|uk-500001|cam-3001|np-50301|pym50018|dlo6001|rrx-001|cmc 001|abl-001|svv-001
sidho building||idoxuridin|idoxuridina|idoxuridine|acido fusidico|zidovudine|idoxuridinum|zidovudina|iodoxuridine|dihydroequilenin|povidone iodine
eventity||exenatida|exenatide|lentil|kevetrin|emetine|penthrite|bentonite|mefentanyl|bemcentinib|evernimicin
efraloctocog alpha (genetical recombination)||agalsidase alfa (genetical recombination)|alteplase (genetical recombination)|agalsidase beta (genetical recombination)|aflibercept (genetical recombination)|lenograstim (genetical recombination)|antithrombin gamma (genetical recombination)|adalimumab (genetical recombination)|galsulfase (genetical recombination)|ocrelizumab (genetical recombination)|somapacitan (genetical recombination)
2354005||gi-5005|cg-400549|sb220025|vpm4001|ags-005|gi-4000|al5300|e-6005|ly-2300559|ly-294002
sickle||psicose|esiclene|quicklime|sincalide|bicene|bicine|rice|quick lime|chickpea|silver
bitter tincture||arnica tincture|bitter gourd|bitter root|bernsteinsäure|gum benzoin tincture|bitter melon|bitopertin|iotroxinsaeure|stearinsäure|bitter melon fruit
235||ns-2359|pt-2385|l523s|123i−|r1295|s-23|fr230513|sp2456|sc-236|v24343
eve (over-the-counter drug)||velvet mesquite seed|meso-erythritol tetranitrate|cyclomethicone d5|selenomethionine (75se)|isometheptene, (r)-|mackerel (scomber scombrus)|prepared fleeceflower root|golden shower tree fruit|selenomethionine (75 se)|forsythia fortunei fruit
shoujusen||sepofarsen|inotersen|echujetin|tofersen|heshouwu|phospholutein|phosphoserine|cholesterin|isorhodeose|sphingosine
3959a01||pd-0325901|psn9301|ir501|cx501|ly-295501|np-50301|aki-001|tak-901|mahdl01|atx-201
234c00a||2-cda|ly2140023|ly-294002|fx-1006a|cx-2009|mva3000|gi-4000|vpm4001|s-40503|cmc 001
eva||pev3a|yeliva|avac|kava|pea|revamil|e-epa|gemsa|henna|teína
shomakakkonto||homosalato|somatotropin|somatrogon|somatropina|somavaratan|somapacitan|homatropina|homatropine|somatropin|homosalate
2349735||fr-234938|gsk-364735|ly-2334737|gw-590735|fr236913|bb-3497|v24343|pf-03814735|gsk2245035|ro-4987655
3231401||npi 32101|crx-401|atl1101|kp-1461|imm101|as1409|st-101|obe101|cxd101|cc-401
sho-saiko-to kagomiko||hipoclorito calcico|sacarato calcico|o-sisi-udo root|hidroxido de magnesio|aurotiomalato sodico|carbasalato calcico|2-aminothiazoline|ascorbato sódico|somatropin pegol|d-4-amino-3-isoxazolidone
234402||tb-402|ly2140023|gsk232802|ly-294002|adc4022|m40403|nn344|ly-2584702|cep-37440|abc294640
ethylene biscysteine ​​diethyl ester dihydrochloride||pentanoic acid, 5-amino-4-oxo-, hexyl ester, hydrochloride|1-[2,3,4-trimethoxybenzyl] piperazine dihydrochloride|octyl decyl dimethyl ammonium chloride|decamethylenebis(4-aminoquinaldinium chloride)|hexyl 5-amino-4-oxopentanoate hydrochloride|ethylbenzhydramine methyl iodide|diethylene glycol diethyl ether|ethyl hydrogen diethylamidophosphate|diethylene glycol ethyl methyl ether|methenamine 3-chloroallylochloride
basic solution for high-calorie infusion (5-4)||calendula flower olive oil infusion|sheep corticotropin-releasing factor (1-41)|coagulation factor viia (recombinant)|coagulation factor ix (recombinant), albumin fusion protein|coagulation factor viia recombinant human|fractionated triglyceride of coconut oil|fc il-2 mutein fusion protein (amg-592)|immune-globulin for coronavirus disease (covid-19)|basic ferric sulfate solution|liraglutide (genetical recombination)
sho||9s-hode|gshna|fsh-b|gpcho|rhtpo|ohton|chlor|hscoa|chrom|fsh-a
2344008||gi-4000|otx-008|vpm4001|gc1008|ly2181308|ly2140023|fr-234938|ly-294002|tst10088|asp-4058
ethyl linoleate||methyl nonylate|ethyl salicylate|ethyl loflazepate|ethyl aminobenzoate|cholesteryl linoleate|methyl vanillate|methyl salicylate|ethyl fluclozepate|ethyl zimate|methyl aminolevulinate
shitsurishi||whitefish|white fish|quinupristin|horseradish|lisuridum|lisuride|lisurida|lisurid|bos taurus hair|white caustic
23440071||vpm4001|r048-8071|ly374571|sch-900271|ly2140023|cg-200745|gdc-0077|cam-3001|fr239087|ico-007
placental hydrolyzate||moxalactam (hydrolyzed)|acetohydroxamate|acetyl hydroxyamino|n-acetylhydroxylamine|n-acetyl hydroxyacetamide|carbamyl hydroxamate|ethyl hydroxybenzoate|tetrahydrofolate|phenyl hydroxide|placenta, porcine
b_tsu-68||vlts-589|bts-sbt|bph-608|bms-986168|bfpet f-18|bms-986158|sb-649868|cvt-6883|fet f-18|xtl-6865
2339a30||fr236913|9cuab30|ly-2334737|fr-234938|lu-31130|fr239087|psn9301|osi-930|tm30339|r-30490
