dialinate||alginate|dinaline|dialyvite|driminate|sinapinate|dinate|dialyte|folinate|dibunate|hylinate
human monocomponent insulin||daromun component l19tnf|human normal immunoglobulin|human rho(d) immune globulin|human anti-d immunoglobulin|human angiotensin ii|human insulin|rid mousse component pyrethrins|human vaccinia immune globulin|human menopausal gonadotropin|human cholecystokinin-33
sulfonamide hypoglycemic agent||salicylamide o-acetic acid|suberoylanilide hydroxamic acid|sulfadimethylpyrimidine|sulfamethoxypyridazine|sulforaphane glucosinolate|sulfadimethoxydiazine|sulfadimethyldiazine|sulfamethoxydiazine|sulfamethyldiazine|signature care lice treatment
hangebyakujutenmayu||orange pekoe tea|invega sustenna|baby anestenka|hand antibacterial|anew platinum day|trans-2-butenal|honey absolute|antibacterial|healthy accents enema|angelica root extract
human red blood cell concentrate||jamp methadone oral concentrate|standardized senna concentrate|equaline pain relief concentrated|micro plus 4 concentrate|micro plus 5 concentrate|act zoledronic acid concentrate|infants pain relief concentrated|modecate concentrate|savlon hospital concentrate|28 remedy eye repair concentrate
hair dyes||hairjoy|clear eyes|hair essence|air power|snail eye|ear drops|air usp|hair regrow|cha ye|handy wipes
hinokitiol combination||inositol nicotinate|inositol niacinate|minoxidil solution|miconazole 3 combination pack|high definition foundation|monistat 3 combination pack|monistat 1 combination pack|mannitol injection|cefoxitin for injection|hanskin real complexion
hair agents (hair growth agents||smart sense hair regrowth treatment|basic care hair regrowth treatment|image essentials hair regrowth treatment|careone hair regrowth treatment|good sense hair regrowth treatment|toppik womens hair regrowth treatment|vanarex hair regrowth treatment|good guy mens hair regrowth treatment|gettik hair regrowth treatment|capillus hair regrowth treatment
high-dose steroid therapy||cellzyme secret therapy|bio-mega heat therapy|estro-lift day therapy|biomega heat pain therapy|dhc acne spot therapy|phisoderm acne therapy|best choice fiber therapy|biomega cold pain therapy|nice sore throat cherry|walgreens fiber therapy
depilatory agents||healthy accents|dexatrim tablets|oscillatoria platensis|dilatrate-sr|dilatrate sr|delta comfort amenity|pediacare infants|ear drying agent|ustilago avenae|country gent
sulfa drug with thiazole nucleus||sulfamethylthiazole|sunmark witch hazel|sunmark nite time cold and flu|kids stuff with iron tablets|sulfamethylthiadiazole|sulfanilamidothiazole|regular strength tylenol sinus caplets|viraguard! with virahol (gel)|spf 30 with titanium dioxide|sinutab with codeine tablets
hepronicart||eprodisate|heparinic acid|benicar|epicare|procort|proscar|heptovir|hemacart|proscare|pro-care
houttuynia cordata||oxybutynin chloride|solution carda|boswellia serrata|eucomniae cortex|sodium ascorbate|mountain cedar|usnea barbata|hot and cold|tilia cordata pollen|calcium diascorbate
gypsum||dapsonum|zypram|opsumit|lysinum|opium|plum|hyprolosum|capsicum|hypnosom|hyperium
gut carbuncle||bismuth carbonate|butobarbitone|sodium carbonate|gum arabic|zinc carbonate|magnesium carbonate|bismuthyl carbonate|spot care blue one|ferrous carbonate|natrum carbonicum
riotyronine sodium||liothyronine sodium|levothyroxine sodium|levothroxine sodium|risedronate sodium|dantrolene sodium|azathioprine sodium|ibandronate sodium|phenytoin sodium|ibuprofen sodium|reviparin sodium
gnrh antagonist||rimantalist|north antiseptic|menthyl anthranilate|gnrh pharmaccine|gnp anti itch|tn antigen|meglumine antimoniate|north antihistamine|gold antiseptic|oral antivavity
gnrh agonist||north antiseptic|anti aging star|germ a stat|arth arrest|nitromist|algenist|granisol|gnrh pharmaccine|cough day night|anthelios mist
hormones||lorzone|harmine|coronex|florone|oralone|omontys|lotronex|dermoneen|rhotrimine|chloretone
sugar infusion||lip infusion|nourifusion|duo fusion|human insulin|aspart insulin|insuman infusat|sunmark tussin|sunmark ibuprofen|sulfate dianion|sugar plum
comprehensive amino acid preparation for high-calorie infusion (1)||aveeno calamine and pramoxine hydrochloride anti itch|complete multivitamins and minerals for children|cold preparation for cough and sinus relief|luxiva preventage hand treatment for normal skin spf 15|president's choice sunblock lotion for children spf 30|potassium chloride in sodium chloride injection usp|5% travasol amino acid injection with electrolytes in 20% dextrose|sterile 0.9% sodium chloride solution for inhalation usp 3ml|rimmel london match perfection foundation - true ivory (130)|walgreens advanced hand sanitizer with aloe and vitamin e
globulin||coviglobulin|lobeline|lobelina|velosulin|tiroglobulina|thymoglobulin|thyroglobulin|bebulin|aloquin|eribulin
hormonal drugs||hormodendrum|corona plus|cosedal drops|ovol drops|fluorbon drops|homosalatum|fluorosol drops|insomnal ds|original eye drops|hemorrhoidal pads
sudstein||lutein|d-zystein|d-cystein|erdosteine|sutent|mustine|astelin|glustin|sustiva|cysteine
ggggggg||ginsenggo|cg-igf2|agg-523|ginseng|jiegeng|gengraf|gtm gel|danggui|gly-gln|neggram
antihistamine (general drug)||antihistamine allergy|antihistimine allergy|antihistamine eye|zaditor antihistamine eye drops|p.n. vitamin-mineral drink|antiphlamine pain relieving|multi vitamin-mineral formula|multivitamines et mineraux|acti-thiamine caplet 100mg|antiphlamine coin plaster
gel||dugel|gyeol|aogel|hygel|elm|gelfos|purgel|ic-gel|erygel|veal
gamma globulin||gammallin|thymoglobulin|thymoglobuline|plasma gelsolin|vzv immune globulin|cmv-immune globulin|gamma oil|haemoglobin|coviglobulin|thyroglobulin
succinate sodium||seconal sodium|docusate sodium|risedronate sodium|ethacrynate sodium|morrhuate sodium|ibandronate sodium|pms-docusate sodium|oxybate sodium|edetate sodium|foscarnet sodium
antitumor botanical ingredient preparation||matricaria recutita preparation|actiprep preoperative skin preparation|atlantic halibut preparation|siberian ginseng preparation|rosmarinus officinalis preparation|garden snail mucin preparation|bacteriostatic nacl diluent for inhalation|anti-bacterial hand gardenia spring rain|evertox special bath preparations|bos taurus gallstone preparation
forsythia||orsythia|forsythia fruit|fortinia|portia|forsteo|morphia|formycin|fortical|fortesta|forskolin
helenien||selenion|lenifen|selepen|selenio|selenium|cerulenin|thelin|eulexin|feldene|hexalen
fluorinated corticosteroids||fractionated coconut oil|fluoride rinse for kids|cultivated licorice root|11-dehydroxycorticosterone|hydrogenated coconut oil|activated ergosterol|desoxycorticosterone|fluticasone propionate glucocorticoid|17-hydroxycorticosterone|11-desoxycorticosterone
hormonal agents not classified elsewhere (including antihormonal agents)||personal care sensitive skin deep cleaning astringent|healthy accents mucus relief severe congestion and cold|harmon face values advanced severe dry skin therapy|clean and clear essentials deep cleaning astringent|olay age defying classic daily renewal lotion with sunscreen|careone day time severe cold night time cold and flu|aveeno active naturals skin relief medicated anti itch treatment|recombinant human follicle stimulating hormone beta|maximum strength mucus relief severe congestion and cough cooling menthol|healthy accents cold head congestion daytime non drowsy
hair nourishers) (general medicine)||baby orajel teething medicine|welly childrens travel medicine|only for first aid medicine|laronidase (genetical recombination)|baby orajel teething pain medicine|pain reliever fever reducer|children's nicold medicine|rite aid renewal medicated|walgreens pinworm medicine|liraglutide (genetical recombination)
strong mino||stepronino|string bean|string beans|stomint|trolamine|stepronin|trophamine|tiopronino|transamine|stepronine
holitropin alpha||follitropin alpha|follitrophin alpha|lutropin alpha|thyrotropin alpha|folitropina alfa|follitropin alfa|follitrophin alfa|lutropin alfa|thyrotropin alfa|folitropina delta
enzyme preparation||honey preparation|lamb preparation|serenoa preparation|skin preparation|salmon preparation|eleuthero preparation|oats preparation|cold preparation|caviar preparation|brown rice preparation
holint||choline|glint|ioline|coline|hylinate|horizant|folinate|holoi|iolite|thelin
ferrous citrate||ferrous tartrate|ferrous cevitamate|ferric citrate|ferrous fumarate|ferrous succinate|ferrous carbonate|ferrous ascorbate|ferrous sulfate|ferrous aspartate|ferric sodium citrate
hobushi||probuphine|horse hair|hobby wash|burrobrush|lobucavir|lomustina|lomustine|dobutamin|nalbuphin|saltbush
streptokina ^ ze streptdornase||streptomycin for injection usp|strepsils anaesthetic formula|sore throat logenzes sore throat|septocaine and epinephrine|sore throat readyincase|strepsils sore throat blocked nose|secretin synthetic porcine|streptokinase|restoration serum epione|prestige light response
eve quick||saniquick|blue stick|eye itch|green stick|ice quake|levaquin|red stick|penequine|eye lubricant|white stick
dehydration supplement (1)||real vitamin supplement cap|chelated iron supplement - tab|daily supplement packs|calcium supplement tab|v-v dietary supplement|db-7 dietary supplement|beta carotene supplement|prenatal supplement - tab|selenium supplement|usana iron 28 supplement
hmg coa reductase inhibitors||human c1-esterase inhibitor|hiv integrase inhibitor|alpha-1 protease inhibitor|alpha1-proteinase inhibitor|alpha 1-proteinase inhibitor|histone deacetylase inhibitor iii|alpha-1-proteinase inhibitor|plasma protease c1 inhibitor|mercaptocarboxylate inhibitor|complement c1 esterase inhibitor
biodiastase 2000 combination drug (10)||monistat 1 combination pack|monistat 3 combination pack|miconazole 3 combination pack|monistat 1 combination pack triple action|monistat 3 combination pack triple action|monistat 7 combination pack triple action|moisture rich foundation spf 15|hops-valerian combination cap|arllin golden combination charisma cc|fc5 face oily combination sample set
stjohnwort||st johns wort|st. johns wort|st john's wort|st. john’s wort|st. john's wort|saint johns wort|ostoforte|topicort|lotion sport|taron forte
antitussive (general drug)||antihistimine allergy|scot-tussin expectorant cough|antihistamine allergy|antibiotic ear drops|antibiotic eye drops|antitussive decong antihistamine syr|aape continuous renewal serum|antibiotic original strength|natural mineral formula|antiseptic oral rinse
sansoninto||mannitol|adonitol|seasonique|syntocinon|stepronino|mannit|sanity|sani-soft|kanjinti|swainosine
steroids (245)||thyroid (pork)|sterixin 0.05%|entero vu 24%|secretin (pig)|retrovir (azt)|steritears ar|atromid-s 1gm|starlix 120mg|sterile water|stelabid no 2
hishifagen||silagen|baishichen|vistitan|fibrinogen|wish care|hispidulin|ristaben|histaflex|salagen|inhibace
keishikaryukotsuboi-to||esika its you roll-on|esika exus roll-on|bismuto subgalato|dithioerythritol|esika aventour roll-on|estibogluconato sodico|disodium pyrosulfite|dihidrotaquisterol|ciliary neurotrophic factor|medistik cooling roll-on
himekuromon||himecromona|hymecromone|muromonab|merbromin|rimexolon|diperodon|thimerosal|rimexolona|cimetropium ion|merbromine
great windbreak||giant wild rye|giant wild ryegrass|crest minty breeze|tretinoin cream|green string bean|green (sting) bean|clease and treat|green sunblock|urea 47% cream|norethindrone
steroidal pulse therapy||estro-lift day therapy|rite aid fiber therapy|thera care pain therapy|dermal pain relief therapy|cold sore therapy|neriumrx acne therapy|control dandruff therapy|anbesol cold sore therapy|neriumrx cold sore therapy|helidac therapy
electrolytes nos||electrolytic iron|tpn electrolytes|electropeg solution|letrozole sun|glycopyrrolate ion|elcure aout rose|spectro tar wash|petrolatum base|galactomyces 70|feel better now
electrolytes (4-1)||electrolytic iron|tpn electrolytes|selectbag one (ax150g)|selectbag one (ax450g)|selectbag one (ax125g)|electropeg solution|naturalyte h-617|naturalyte h-401|naturalyte h-410|naturalyte h-616
e6010||e-6201|e-6005|e-2012|tg4010|e7107|kd3010|evt-101|ser-100|ehs7000|zen-012
steroid v.d3 mixture||aspergillus mixture|atriplex mixture|grain smut mixture|sweet clover mixture|franseria mixture|chenopodium mixture|marsh elder mixture|carbon dioxide mixture|strong iodine tincture|number two weed mixture
hilroid soft ointment 0.3%||hydrocortisone ointment 0.5%|hydroval ointment 0.2%|clobetasol ointment 0.05%|lydonide ointment 0.05%|pro-sone ointment - 0.05%|hydrocortisone ointment 1%|tioconazole ointment 6.5%|desocort ointment - 0.05%|lidodan ointment 5%|kenalog ointment 0.1%
dtp-ipv vaccine||typhoid vaccine|ruti® vaccine|gx-19 vaccine|cvncov vaccine|rspsma vaccine|dengue vaccine|rotavirus vaccine|mva-hpv-il2 vaccine|plague vaccine|dl-mepivacaine
crude drug (general medicine)||rite aid renewal medicated|welly childrens travel medicine|drula fade cream normal-medicated|children's nicold medicine|siladryl allergy medicine|orajel ultra canker sore medicine|gold bond original medicated|complete allergy medicine|powerful pain medicine|rite aid renewal acne
steroid ointment||hemorrhoid ointment|systane ointment|nerisone ointment|neotopic ointment|hemorrhoidal ointment|rosone ointment|elocom ointment|lotemax ointment|healing ointment|dioptrol ointment
high calorie infusion||high protection emulsion|lip infusion|high resolution|high protection lotion|chlorine anion|potassium chloride injection|clindamycin iv infusion|night relief sinus|light care aqua sun|sodium chloride injection 5%
comprehensive amino acid preparation (added with glucose)||replenix acne 10% wash paraben free with aloe|complete multivitamins and minerals tablets timed release|jergens bb hand perfecting hand cream with sunscreen|muscle &amp; back pain relief with ibuprofen|marvel spider-man hand sanitizer with case|marvel spiderman hand sanitizer with case|revive acne reparatif acne treatment gel|compass 70% ethanol hand sanitizer gel with lavender|compass 70% ethanol hand sanitizer gel with citrus|clinique spf 30 advanced protection body cream with solar smart
tsudosan||neurosan|tensiosan|tosedostat|tamsulosin|softsan|sumadan|sio2san|basosan|diclosan|triclosan
diuretic (general drug)||duragesic (fentanyl system)|dollar general gold|diabetic skin care formula|dermotic oil ear drops|rite aid renewal hydrating|dermacinrx penetral cream|diabetic ulcer defense|rite aid renewal pear|aromatic ginger root|diurette water pills
su011248||spp1148|sr11254|su-11652|sd118|sf1126|an0128|gsk-1521498|rpr131247|muro 128|as-8112
steroid drug||generic drug|pteroic acid|sterillium rub|supersonic scrub|sterile diluent|stelabid forte|starlix 60mg|geri dryl|sterisporin|steproninum
hes preparation||honey preparation|oats preparation|skin preparation|cold preparation|lamb preparation|salmon preparation|rhubarb preparation|serenoa preparation|eleuthero preparation|caviar preparation
dioctylsodium sulfosuccinate||dioctyl sulfosuccinate|dilithium succinate|potassium sulfoguaiacolate|dipotassium sulfate|disodium pyrosulfite|antimony sodium gluconate|chloromycetin sodium succinate|lithium succinate|dibutyl succinate|dicholine succinate
statin||apstatin|nystatin|stibatin|mestatin|staticin|isatin|straton|seratin|leustatin|nystatine
stage unknown||lustime unicorn|spot care pink one|acetate anion|take action|sage food|sage oil|stancare lotion|state of return|sulfate dianion|sparkling snow
digestive enzyme preparation||siberian ginseng preparation|serenoa preparation|culex pipiens preparation|skin preparation|eleuthero preparation|damiana leaf preparation|boswellia serrata preparation|garden snail mucin preparation|digestive relief regular strength|schizandra preparation
often||akten|ohton|ocufen|koffein|loniten|coffein|softsan|vontee|bio-fen|efient
st1||just 1|st-101|ls11|sot-107|stx-100|stnf-r1|qs-21|egs21|sd118|ft516
details unknown||dental guardian|bentasil yellow|devil's dung|denileukin|digitalis antitoxin|dermafirm sunblock|diethylcathinone|dermasil dryskin|cetalkonium ion|lustime unicorn
hematopoietic agent||hematopoietin-1|dermatopoietin|dermatop ointment|dermapoietin|therapeutic menthol|teva-topotecan|hematoporphyrin|hepatitis b antigen|hyvee antiseptic mint|hemorrhoid ointment
deprodon propionate||estriol propionate|drostanolone propionate|testosterone propionate|nandrolone phenpropionate|dromostanolone propionate|josamycin propionate|estriol tripropionate|nandrolon phenylpropionate|nadrolone phenylpropionate|clobetasol propionate
dehydration supplement (2)||real vitamin supplement cap|chelated iron supplement - tab|daily supplement packs|v-v dietary supplement|calcium supplement tab|db-7 dietary supplement|beta carotene supplement|prenatal supplement - tab|iron dietary supplement|usana iron 28 supplement
ssr149744c||sar-125844|sp1049c|ssr-126517e|cnv2197944|gsk159797|sb-559448|sri-9439|bp-14979|sr11254|rta 744
cp-690||spf-60|cpi-613|cp-94707|cp-866087|cep-26401|cp-609754|cp-601927|acp-104|cc-220|cyp-001
cuckold||cough cold|tukol a|fucitol|calciol|cupreol|sicknol|buccolam|maccola|co cool|nu-copd
sr141716||fr117016|sgi-1776|sar153191|sr-123781a|sr 121463|r411|sd146|sr11254|sf1126|sr12813
ct contrast agent||country gent|spot on treatment|vcf contraceptive|cvs acne treatment|act rosuvastatin|counteract pain|ultra control mint|nitrate d'argent|act lovastatin|60 second taste mint
coriogonadotropin alpha (genetical recombination)||antithrombin gamma (genetical recombination)|agalsidase alfa (genetical recombination)|insulin lispro (genetical recombination)|laronidase (genetical recombination)|lenograstim (genetical recombination)|alteplase (genetical recombination)|somapacitan (genetical recombination)|agalsidase beta (genetical recombination)|somatrem (genetical recombination)|adalimumab (genetical recombination)
crude drug||dr.devirus|cardec dm|ceruletidum|cough drop|hormodendrum|cold rub|carione rg|culex doliorum|crème de jour|virdec drops
bronchodilator||broncho dilate|bronchitol|bronchoril|bronchodex-rub|broncomar|benorilato|broncotron|bone collector|bronchodex d cap|bronchodex vapo ont
specific substance maruyama||specific rides bronzante - crm|reichstein's substance fa|reichstein's substance m|pacific long-tailed tuna|pacific blue ultra|purifying skin balancecream|seldicine (massage cream)|perfect skin pact caramel|reichstein's substance h|peace out acne serum
hasumi vaccine||ruti® vaccine|plague vaccine|rspsma vaccine|typhoid vaccine|cholera vaccine|gastrin 17 vaccine|dengue vaccine|anthrax vaccine|smallpox vaccine|lv-smenp vaccine
corydalis turf||corydalis ambigua root|corydalis ambigua tuber|coal tars|coal tar|core values tussin cf|orajel denture|coricidin tab|corzall plus|carmatis ont|corylus humilis nut
contrast aid||counteract pain|contraseed|counteract ib|counteract day|first aid|conquest ii|sotrastaurin|counteract pm|glint first aid|wound first aid
acratnium napadisilate||atracurium besilate|atracurium dibesylate|calcium silicate|calcium caseinate|atracurium besylate|aluminium nicotinate|potassium pentaoxodisulfate|aluminium potassium sulfate|calcium alginate|amezinium metilsulfate
harun care||ear care|scrub care|scar care|thera care|wound care|unicare|handkare|rps care|nanocare|sanacare
sp troche||spectracef|sporotrichum|soft touch|entrocel|estrone|sprycel|estrace|procure|esperoct|septocaine
thienopyridine||phenopyridine|phenoperidine|phenazopyridine|tinoridine|phénazopyridine|4-aminopyridine|γ-aminopyridine|p-aminopyridine|triazolopyridine|tenocyclidine
hartmann||wartmannin|harmine|harmaline|wortmannin|artemin|arranon|halotano|aromasin|halothane|cardamonin
sulfa drug||sulfatrim|sulfaperin|sulfalenum|sulfatide|sulfacet-r|sulfaclear|sulfatol c|sulfameter|sulfaperina|sulfanitran
comprehensive amino acid preparation (with xylitol) (1-2)||5% travasol amino acid injection with electrolytes in 20% dextrose|2.5% travasol amino acid injection with electrolytes in 10% dextrose|provence intensive ampoule foundation 01 light beige|4.25% travasol amino acid injection with electrolytes in 25% dextrose|5% travasol amino acid injection without electrolytes in 20% dextrose|5% travasol amino acid injection without electrolytes in 25% dextrose|4.25% travasol amino acid injection with electrolytes in 20% dextrose|4.25% travasol amino acid injection with electrolytes in 10% dextrose|sensitive multiprotection with tartar control|prescriptives anti-age advanced protection lotion spf 25
som||solimo|hs-com|unisom|prosom|sproam|ecosom|wal-som|solmara|estomax|stozyme
comprabin||compactin|compazine|companion|clofarabin|clomipramine|clomipramina|norpramin|ombrabulin|clofarabine|clofarabina
haliace premium||mediaqua premium|halazepamum|dental clear premium|bacteria zero premium|hair treatment premium|faldaprevirum|angryhead premium|o sha mpoo premium|hand antibacterial premium|alagebrium
cleboprid malate||cleboprida|clebopride|enalapril maleate|almotriptan malate|cerium oxalate|asenapine maleate|clotrimazole|cilazaprilate|cupric sulfate|cerous oxalate
keishito||senshio|kemstro|inositol|relistor|keystone|ensuite|kimite|kesimpta|blemish toner|keri lotion
half summer||real summer|hand saver|lift lumiere|halls lime|herbal slumber cap|bullfrog surfer|wal flu severe|medical super|hand sanitzer|oil of nutmeg
cinnamomum cassia bark||cinnamomum cassia oil|cinnamomum camphora leaf oil|cinnamon sugar|erythroxylum catuaba bark|rhamnus purshiana bark|eucommia bark|magnolia praecocossima bark|cinnamon bark sanitizer|cascara sagrada bark|surinam quassia wood
yokuinin||conquinine|hydroquinine|quinina|quinine|skininc|yohimbin|zorubicin|conchinin|tioguanin|myostibin
sol melcourt||cool melon|solu-cortef|sol protect|colocort|sofracort|caldecort|symbicort|aloe cort|cool comfort|kool comfort
stimulants||stimate|simulect|sutilains|sutilaines|striant|tiamulin|tiamuline|stibanate|tiamulina|stibanose
h2 receptor antagonists||interleukin-1 receptor antagonist anakinra|harris teeter antacid|trichophyton mentagrophytes|harris teeter anti-itch|restoring anticavity|7 select antacid|act braces care anticavity|dr pepstory hand sanitizer|sun protector lotion spf 8|pain reliever infants
cefpyramid sodium||cefazolin sodium|cefuroxime sodium|cefpiramidum|heparin sodium|nedocromil sodium|ceftriaxone sodium|sulfacetamide sodium|reviparin sodium|pegaptanib sodium|cefpiramido
sol||g sol|solia|secol|solie|vosol|k-sol|solbar|sustol|solagé|parsol
prelixahol||pediacol|plerixafor|pelitrexol|publix alcohol|pediazole|pirlindol|prismasol|pravachol|proxazole|reglixane
catecoramine||enteramine|capecitabine|octopamine|cutiecaine|cysteamine|liatermine|ractopamine|tenitramine|mecloxamine|chitosamine
h2 antagonist||rimantalist|hantastic|bl latanoprost|plantago seed|hycanthonum|antazoline|hycanthone|tn antigen|antazolina|hicantona
other vitamins (general medicine)||rite aid renewal medicated|p.n. vitamin-mineral drink|meth-x vitamin and mineral supplement|multi vitamin and mineral vitamin|welly childrens travel medicine|meijer foaming cleanser acne medication|ocuvite vitamin and mineral supplement|super 7 vitamin and mineral supplement|vtb vitamin and mineral supplement|powertech vitamin and mineral supplement
carperitide||cenderitide|cariporide|c-peptide|avexitide|carnitine|amperozide|ocaperidone|carbanilide|capecitabine|carpropamide
one side||one step|emodepside|émodepside|onivyde|monensin|inderide|rutoside|undesine|old spice|bone care
mp-424||amp-224|ap-24|sp-420|bmp-2|me-344|mk-8245|mpi-674|mk-0249|mk-1454|omp-54f28
gw642444||g4544|gw842166|gs-6624|gsk-424887|megf0444a|gs-441524|np-g2-044|gw-274150|gti 2040|gti-2040
bushiri nakayu||birinapant|buspirona|budesonide nasal|aspirin backache|shoprite nasal|aspirin nsaid|buspironum|basic care nasal|burncare spray|sunmark nasal
mln9708||mln-977|mln0415|mln8054|mln2222|al7089a|psn9301|sm-9018|pl-1808|miv-701|mk-2748
gw28487||kw2871|ru84687|rg2417|gsk-424887|gw-813893|gw-870086|gw-274150|gw842166|gw810781|an2898
guyyou||gumsol|glydo|gyeol|glycon|mayou|bimayou|myoup|nymyo|glycoluril|glucagonum
bupleurum falcatum root||absinthium spicatum root|acorus calamus root|fagopyrum multiflorum root|scutellaria macrantha root|epimedium macranthum top|kaempferia galanga root|burra gokharu root|sweet calamus root|peru balsam oil|puncturevine caltrop root
makyokansekito||mar-ondansetron|myo-inositol|mylan-ondansetron|ran-ondansetron|van-ondansetron|nat-ondansetron|l-myo-inositol|ag-ondansetron|malonate ion|jamp ondansetron
gutmin||glutamine|glutamina|cumin|rutin|lutein|glustin|l-glutamin|d-glutamin|axumin|guanine
bukuryoin||kerydin|buformin|bydureon|bupropion|buserelin|buspiron|budeprion|buformine|cuprymina|bufotenin
kanzoto||anoro|kazano|sanetto|painzone|panto a|kaewoon|katilo|pantoloc|kanjinti|mannitol
sodium cefmethazole for injection||sodium nitroprusside for injection|voriconazole for injection|colistimethate for injection|fomepizole for injection|cefazolin for injection|sodium pertechnetate 99mtc injection|ceftriaxone for injection|sodium chloride 0.9% injection|dipyridamole for injection|caspofungin acetate for injection
biodiastase 2000 combination drug (19)||monistat 1 combination pack|monistat 3 combination pack|miconazole 3 combination pack|monistat 1 combination pack triple action|monistat 7 combination pack triple action|monistat 3 combination pack triple action|moisture rich foundation spf 15|hops-valerian combination cap|arllin golden combination charisma cc|fc5 face oily combination sample set
biodiastase 2000 combination drug (6)||monistat 3 combination pack|monistat 1 combination pack|miconazole 3 combination pack|hops-valerian combination cap|monistat 3 combination pack triple action|monistat 1 combination pack triple action|monistat 7 combination pack triple action|fc5 face oily combination sample set|super aqua max combination watery|arllin golden combination charisma cc
gsk1120212||gsk-1292263|gsk232802|gsk-239512|gsk4182136|gsk3117391|gsk-2018682|gsk-1004723|gsk-1059615|gsk-1521498|gsk-923295
biodiastase 2000 combination drug (11)||monistat 3 combination pack|monistat 1 combination pack|miconazole 3 combination pack|monistat 3 combination pack triple action|monistat 1 combination pack triple action|monistat 7 combination pack triple action|moisture rich foundation spf 15|hops-valerian combination cap|arllin golden combination charisma cc|fc5 face oily combination sample set
biodiastase 2000 combination drug (20)||monistat 3 combination pack|monistat 1 combination pack|miconazole 3 combination pack|monistat 1 combination pack triple action|monistat 7 combination pack triple action|monistat 3 combination pack triple action|hops-valerian combination cap|arllin golden combination charisma cc|fc5 face oily combination sample set|super aqua max combination watery
gro||re-gro|iron|g tron|outgro|seguro|algeron|gonitro|greenco|argyrol|gavreto
gripicid||glipizide|glipizida|grepid|dificid|rimiducid|tropicamid|gramicidin|glipizidum|piceid|uric acid
sir||ms.ir|simcor|steiro|sifrol|sibarc|silver|lusair|sialor|sis sar|rosiver
bifidobacterium preparation (1)||bifidobacterium infantis|bifidobacterium infantis whole|bifidobacterium liberorum whole|bifidobacterium lactentis whole|bifidobacterium breve|bifidobacterium longum infantis|bifidobacterium longum infantis whole|brown rice preparation|carduus marianus preparation|boswellia serrata preparation
bacteria nos||bactrim ds|bacteria blaster|alegria neo|antibacterial foam|antibacterial gold|antibacterial soap|bactigras|bactroban|libera tos|bulgarian rose
grinide drug||generic drug|garcinia fruit|granisetronum|ginsenoside rg1|mini duo|nipride rtu|granisetron|triadine scrub|tricode ar|grain mill dust
simple ointment||suppress ointment|rolene ointment|rosone ointment|systane ointment|diprogen ointment|dioptrol ointment|zinc ointment|mecca ointment|bioderm ointment|nerisone ointment
takejo onboriyu||acide borique|culex consobrinus|care one sinus|temozolomidum|paeoniflorin|take action|camphor monobromide|teva-ketoconazole|mckesson fluoride|makeup sun primer
grecaprevir hydrate||grazoprevir anhydrous|terpin hydrate|terpinol hydrate|terpinene hydrate|cis-terpin hydrate|cidofovir dihydrate|prime primer hydrating|glecaprevir|glecaprevirum|iron azide hydrate
gratibit c||antibiotic|gramicidin c|tribiotic|dg anti-itch|gramicidin d|gramicidin|ribitol|gnp anti itch|rabbit atg|anti itch
sil||ysil6|siliq|basil|snail|sapil|sisal|silace|sildec|siklos|silica
other nourishing tonics||oerbeua nourishing mask|eron healing tonic|oxy finishing toner|baby nourishing mineral|nivea nourishing day cream|jejuen nourishing beet ice mask|thera moisturizing body|lantiseptic nourishing skin|eight hour nourishing lip spf 20|therapytion hair tonic
azimarin||aminacrin|cymarin|cumarin|vivarin|ajmalin|acelarin|azopyrin|coumarin|amimycin|amikacin
grass degib||glasdegib|erismodegib|patidegib|saridegib|taladegib|vismodegib|enasidenib|3 grass mix|5 grass mix|7 grass mix
nsaids||ansaid|nadida|enkaid|nadide|rolaids|pennsaid|sanilso|nadidum|zonisamide|sanidry
signal gastrointestinal drug||derangements gastro-intestinaux-cap 250mg|spinal anaesthesia tray|spinal anesthesia tray|original strength terminator|analogue of indinavir drug|dial antibacterial bar|original unscented nasal spray|secret outlast protecting dry|signature care nasal allergy|signatry antimicrobial foam
influenza vaccine||influenza a|cholera vaccine|plague vaccine|dengue vaccine|lv-smenp vaccine|varicella vaccine|influenza care synergy|chickenpox vaccine|influenza virus type b|anthrax vaccine
grargin||targin|fragmin|guardian|algin|errin|granix|garlic|dragon|galzin|argifin
asp2215||apr15|spf15|spf 15|sp2456|ddp-225|spf 25|asp-4058|amp-224|pas219|balm spf 15
sidho building||idoxuridin|idoxuridina|idoxuridine|zidovudine|lido king|lice killing|acido fusidico|iodoxuridine|shopko healing|zidovudina
sickle||sicknol|silace|siklos|sparkle|psicose|sinelee|esiclene|quickflex|sincalide|quicklime
shoujusen||docusen|sorbugen|sojourn|sepofarsen|sorbutuss nr|home sense|echujetin|inotersen|sunscreen|sinu-phen
* s-||dms-a|bis-z|h s s|gas-x|g sol|30 spf|cis-ra|gts-21|q base|bts-72
eftrenonacog alpha (genetical recombination)||agalsidase alfa (genetical recombination)|lenograstim (genetical recombination)|antithrombin gamma (genetical recombination)|laronidase (genetical recombination)|agalsidase beta (genetical recombination)|alteplase (genetical recombination)|ocrelizumab (genetical recombination)|liraglutide (genetical recombination)|somapacitan (genetical recombination)|aflibercept (genetical recombination)
shomakakkonto||somac control|homosalato|somakit toc|hormasan forte|somatotropin|soma atocell|somatrogon|soma arthrit|home papkit|homatropine
